seed,region_gev,denominator,baseline_accepted,model_accepted,paired_delta,paired_se,ci95_low,ci95_high
42,10-25,822,78,127,0.05961070559610705,0.010477080705797897,0.039075627412743175,0.08014578377947093
42,25-60,1489,828,938,0.07387508394895903,0.010317892122521748,0.05365201538881641,0.09409815250910165
42,60+,1312,1293,1294,0.0007621951219512195,0.002287360413877222,-0.0037210312892481355,0.005245421533150574
123,10-25,822,78,148,0.0851581508515815,0.011291197700370131,0.06302740335885604,0.10728889834430697
123,25-60,1489,828,1017,0.12693082605775688,0.010853750156848498,0.10565747575033382,0.14820417636517993
123,60+,1312,1293,1299,0.004573170731707317,0.0028501632986492184,-0.001013149333645151,0.010159490797059785
456,10-25,822,78,142,0.07785888077858881,0.010956722847383046,0.05638370399771804,0.09933405755945958
456,25-60,1489,828,1018,0.12760241773002015,0.011034086197884601,0.10597560878216633,0.14922922667787397
456,60+,1312,1293,1298,0.0038109756097560975,0.0025266878803731885,-0.0011413326357753517,0.008763283855287546
