seed,region_gev,denominator,baseline_accepted,model_accepted,baseline_efficiency,model_efficiency,paired_delta,paired_se,ci95_low,ci95_high,evidence_status
42,10-25,822,78,258,0.0948905109489051,0.31386861313868614,0.21897810218978103,0.01599162895132875,0.18763450944517668,0.2503216949343854,beats
123,10-25,822,78,265,0.0948905109489051,0.3223844282238443,0.22749391727493917,0.01635239426482259,0.1954432245158869,0.25954461003399143,beats
456,10-25,822,78,254,0.0948905109489051,0.30900243309002434,0.2141119221411192,0.016163624271005206,0.182431218569949,0.2457926257122894,beats
42,25-60,1489,828,1125,0.5560779046339825,0.7555406312961719,0.1994627266621894,0.014120307967404301,0.17178692304607696,0.22713853027830183,beats
123,25-60,1489,828,1143,0.5560779046339825,0.7676292813969107,0.21155137676292815,0.014225425098181971,0.18366954357049148,0.23943320995536482,beats
456,25-60,1489,828,1155,0.5560779046339825,0.7756883814640698,0.2196104768300873,0.01420678971144805,0.19176516899564913,0.24745578466452547,beats
42,60+,1312,1293,1270,0.9855182926829268,0.9679878048780488,-0.01753048780487805,0.005633980327306987,-0.028573089246399744,-0.006487886363356355,loses
123,60+,1312,1293,1244,0.9855182926829268,0.948170731707317,-0.037347560975609755,0.0066981659160316115,-0.050475966171031714,-0.024219155780187795,loses
456,60+,1312,1293,1264,0.9855182926829268,0.9634146341463414,-0.022103658536585365,0.005923831989932247,-0.03371436923685257,-0.01049294783631816,loses
