classifier,candidate,mean_signal_efficiency,sample_sd_signal_efficiency,mean_delta_vs_baseline_percentage_points,sample_sd_delta_percentage_points
nn_only,member_pt_and_event_pt,0.44810911910952966,0.0027176444520973604,10.419232699238176,0.2717644452097354
nn_only,member_pt_only,0.4182747137448109,0.0075137463622629375,7.435792162766298,0.7513746362262937
nn_only,no_member_or_event_pt,0.4177272934628895,0.0036730568374436674,7.3810501345741555,0.3673056837443668
nn_only,event_pt_only,0.43930477624195974,0.0022529187947384994,9.538798412481183,0.2252918794738496
final_or,member_pt_and_event_pt,0.4475616988276082,0.005525850063005661,10.364490671046031,0.552585006300566
final_or,member_pt_only,0.4091510423794535,0.0073601228615998325,6.523425026230556,0.736012286159983
final_or,no_member_or_event_pt,0.4174535833219288,0.004004813695303792,7.353679120478083,0.40048136953037894
final_or,event_pt_only,0.4172254915377948,0.01664369978940411,7.330869942064688,1.6643699789404107
