seed,epoch,training_bce
42,1,0.0954725832280851
42,2,0.05040768395446813
42,3,0.04924480437898513
42,4,0.04901275749453594
42,5,0.04897391462307207
42,6,0.0489428641166929
42,7,0.048926174363544336
42,8,0.04889884734056118
42,9,0.04890187673554327
42,10,0.04890589593736727
42,11,0.048897533649008694
42,12,0.048902234729992805
42,13,0.04890437286263022
42,14,0.04888902959175933
42,15,0.04888891364923435
42,16,0.04888668439673044
42,17,0.048891452027334484
42,18,0.048879479107049
42,19,0.04888302419994157
42,20,0.04887076604637932
123,1,0.10539079826275233
123,2,0.050255969174988764
123,3,0.04949033681775389
123,4,0.04922495803437453
123,5,0.049109516507803486
123,6,0.04905371120198766
123,7,0.04902433474226634
123,8,0.04899838584205058
123,9,0.0489868569687192
123,10,0.048985797285151546
123,11,0.048981528631419406
123,12,0.04896813782775849
123,13,0.04896086209003747
123,14,0.048962583680386106
123,15,0.04895900747861122
123,16,0.0489625628904821
123,17,0.048965832601040746
123,18,0.048959701201382204
123,19,0.0489671414143318
123,20,0.048962933979659354
456,1,0.09464505845048304
456,2,0.05135182975016905
456,3,0.04983615130441411
456,4,0.049356173740688854
456,5,0.04915127981182051
456,6,0.049053052187417824
456,7,0.04895996135291873
456,8,0.04886649355550673
456,9,0.04880227307660757
456,10,0.04874260697088642
456,11,0.04871040228905005
456,12,0.04868716017414029
456,13,0.048661454848188894
456,14,0.048666456200342774
456,15,0.048656597675344915
456,16,0.04865364514213489
456,17,0.048646720597550444
456,18,0.04864050198363598
456,19,0.04863648497259522
456,20,0.04864012127696043
