seed,epoch,eligible_accepted,eligible_count,background_accepted,background_count,validation_bce,selected
42,1,1939,3651,123,24835,0.053921492736950634,false
42,2,1944,3651,128,24835,0.050361761012820846,false
42,3,2023,3651,126,24835,0.049926041487915636,false
42,4,2087,3651,131,24835,0.05012645545602973,true
42,5,2028,3651,131,24835,0.04991606773961796,false
42,6,2044,3651,130,24835,0.049834812067642405,false
42,7,2041,3651,130,24835,0.04981493753486467,false
42,8,2044,3651,129,24835,0.049836303890815656,false
42,9,1982,3651,125,24835,0.0498092462393728,false
42,10,2047,3651,129,24835,0.04987380557360806,false
42,11,2003,3651,129,24835,0.049772355836413734,false
42,12,1994,3651,126,24835,0.04980775670992281,false
42,13,1991,3651,126,24835,0.04974857602015309,false
42,14,1963,3651,125,24835,0.049818657324515674,false
42,15,1972,3651,125,24835,0.049787677029273086,false
42,16,2002,3651,127,24835,0.04978124915965904,false
42,17,2028,3651,130,24835,0.04984453153279506,false
42,18,2016,3651,128,24835,0.049865581758756945,false
42,19,2028,3651,133,24835,0.04995915538503865,false
42,20,2015,3651,128,24835,0.049830209910839626,false
123,1,2087,3651,130,24835,0.052197774328258464,false
123,2,2046,3651,132,24835,0.05065497717953318,false
123,3,2086,3651,132,24835,0.05037719602402857,false
123,4,2046,3651,133,24835,0.05015973378858357,false
123,5,2112,3651,131,24835,0.05026443293515587,true
123,6,2079,3651,132,24835,0.04999890620396826,false
123,7,2062,3651,132,24835,0.04997568527109451,false
123,8,2087,3651,132,24835,0.05003839659501003,false
123,9,2082,3651,132,24835,0.05008870612144933,false
123,10,2051,3651,132,24835,0.049966267410164446,false
123,11,2012,3651,133,24835,0.04996548951243739,false
123,12,2041,3651,133,24835,0.04997014394968307,false
123,13,2017,3651,133,24835,0.04995816696500475,false
123,14,2066,3651,132,24835,0.05001751488306631,false
123,15,2072,3651,132,24835,0.04997372926531573,false
123,16,2062,3651,132,24835,0.04997407024941976,false
123,17,2046,3651,132,24835,0.04994833480623285,false
123,18,2057,3651,133,24835,0.04991179823014203,false
123,19,2046,3651,132,24835,0.04995864478862561,false
123,20,2055,3651,133,24835,0.04991604945158457,false
456,1,1057,3651,84,24835,0.05333856900958057,false
456,2,2021,3651,129,24835,0.051207949465828094,false
456,3,2045,3651,127,24835,0.0503631515021944,false
456,4,2057,3651,131,24835,0.05006794811904555,false
456,5,2070,3651,133,24835,0.04992109849073439,false
456,6,2081,3651,136,24835,0.04983100042401034,false
456,7,2090,3651,132,24835,0.04974287708622365,false
456,8,2077,3651,130,24835,0.04967043338352713,false
456,9,2093,3651,134,24835,0.0496325997126566,false
456,10,2107,3651,134,24835,0.04964761539570122,false
456,11,2096,3651,134,24835,0.0495953817919391,false
456,12,2077,3651,133,24835,0.049607423856434775,false
456,13,2106,3651,134,24835,0.04956500930578303,false
456,14,2116,3651,133,24835,0.04964182523622791,false
456,15,2106,3651,133,24835,0.04960350294566049,false
456,16,2084,3651,130,24835,0.04958059267060496,false
456,17,2082,3651,132,24835,0.049614868108631346,false
456,18,2118,3651,134,24835,0.04957296358433617,true
456,19,2090,3651,131,24835,0.04957817368891516,false
456,20,2105,3651,131,24835,0.04956286737678281,false
